name,type,mode,value,description,scope
primitive/violet/50,color,light,#f5f3ff,Primitive violet 50. Reference only — code uses semantic tokens (token-lint forbids raw hex).,
primitive/violet/100,color,light,#ede9fe,Primitive violet 100. Reference only — code uses semantic tokens (token-lint forbids raw hex).,
primitive/violet/200,color,light,#ddd6fe,Primitive violet 200. Reference only — code uses semantic tokens (token-lint forbids raw hex).,
primitive/violet/300,color,light,#c4b5fd,Primitive. Dark-theme aura-fg-accent (9.6:1 on dark aura-bg-surface).,
primitive/violet/400,color,light,#a78bfa,Primitive. Dark-theme aura-accent-violet (6.5:1 on dark aura-bg-surface).,
primitive/violet/500,color,light,#8b5cf6,Primitive violet 500. Reference only — code uses semantic tokens (token-lint forbids raw hex).,
primitive/violet/600,color,light,#7c3aed,Primitive. Primary brand violet (Figma: 'Primary brand'). Never in product code directly — reach it through a semantic token.,
primitive/violet/700,color,light,#6d28d9,Primitive. Light-theme accent: resolves aura-fg-accent and aura-accent-violet. 7.1:1 on aura-bg-surface.,
primitive/violet/800,color,light,#5b21b6,Primitive violet 800. Reference only — code uses semantic tokens (token-lint forbids raw hex).,
primitive/violet/900,color,light,#4c1d95,Primitive violet 900. Reference only — code uses semantic tokens (token-lint forbids raw hex).,
primitive/zinc/0,color,light,#ffffff,"Primitive white. Light aura-bg-surface, aura-fg-inverted; dark aura-fg-primary, aura-border-strong.",
primitive/zinc/50,color,light,#fafafa,Primitive. Light aura-bg-canvas and aura-bg-surface-hover.,
primitive/zinc/100,color,light,#f4f4f5,Primitive. Light aura-border-subtle.,
primitive/zinc/200,color,light,#e4e4e7,"Primitive. Light aura-border-default, card border.",
primitive/zinc/300,color,light,#d4d4d8,Primitive zinc 300. Reference only — code uses semantic tokens.,
primitive/zinc/400,color,light,#a1a1aa,Primitive. Light aura-fg-tertiary; dark aura-fg-secondary.,
primitive/zinc/450,color,light,#8e8e97,Primitive between zinc-400 and -500. Dark-theme aura-fg-tertiary (5.5:1 on dark surface). ADDED so tertiary text passes AA.,
primitive/zinc/500,color,light,#71717a,Primitive zinc 500. Reference only — code uses semantic tokens.,
primitive/zinc/600,color,light,#52525b,Primitive. Light aura-fg-secondary; dark aura-fg-tertiary.,
primitive/zinc/700,color,light,#3f3f46,Primitive zinc 700. Reference only — code uses semantic tokens.,
primitive/zinc/800,color,light,#27272a,Primitive. Dark aura-bg-surface-hover; primary button hover fill.,
primitive/zinc/900,color,light,#18181b,"Primitive 'Ink'. Light aura-fg-primary, aura-bg-surface-strong, aura-border-strong; dark aura-bg-surface; the brutal Creative shadow colour.",
primitive/zinc/950,color,light,#08080a,Primitive. Dark aura-bg-canvas.,
primitive/lime/50,color,light,#f7fee7,Primitive lime 50. Reference only.,
primitive/lime/100,color,light,#ecfccb,Primitive lime 100. Reference only.,
primitive/lime/200,color,light,#d9f99d,"Primitive 'Accent dot'. aura-accent-dot / aura-accent-lime and the Ready status fill. A fill only — 1.17:1 against white, so never text and never a mark that must be seen on a light surface.",
primitive/lime/300,color,light,#bef264,Primitive lime 300 (also exported in the Tailwind config).,
primitive/lime/400,color,light,#a3e635,Primitive lime 400. Reference only.,
primitive/lime/500,color,light,#84cc16,Primitive lime 500. Reference only.,
primitive/lime/600,color,light,#65a30d,Primitive lime 600. Reference only.,
primitive/lime/800,color,light,#3f6212,Primitive. Success alert text on aura-lime-50 (6.8:1). ADDED.,
primitive/red/50,color,light,#fef2f2,Primitive. Danger alert fill (light). ADDED.,
primitive/red/200,color,light,#fecaca,Primitive. Danger alert edge (light). ADDED.,
primitive/red/300,color,light,#fca5a5,"Primitive. Danger alert text (dark), 8.1:1. ADDED.",
primitive/red/400,color,light,#f87171,Primitive. Dark-theme aura-fg-danger: 6.4:1 on dark surface. ADDED.,
primitive/red/600,color,light,#dc2626,Primitive red 600. Dark-theme danger button fill only.,
primitive/red/700,color,light,#b91c1c,"Primitive red 700 (Tailwind red, like the other scales). The Blocked status fill; white on it 6.5:1. ADDED — the source palette has no warm hue.",
primitive/red/800,color,light,#991b1b,Primitive red 800. Danger button hover only.,
primitive/amber/50,color,light,#fffbeb,Primitive. Warning alert fill (light). ADDED.,
primitive/amber/200,color,light,#fde68a,Primitive. Warning alert edge (light). ADDED.,
primitive/amber/300,color,light,#fcd34d,"Primitive. Warning alert text (dark), 9.6:1. ADDED.",
primitive/amber/500,color,light,#f59e0b,Primitive. Warning status pill fill (dark). ADDED 5.1.,
primitive/amber/600,color,light,#d97706,Primitive. Warning status pill fill (light). ADDED 5.1.,
primitive/amber/800,color,light,#92400e,"Primitive. Warning alert text (light), 6.8:1 on amber-50. ADDED.",
primitive/ink,color,light,#08080a,Primitive ink (= zinc-950). Text on lime fills: the Ready status label (15:1 on aura-lime-200).,
primitive/white,color,light,#ffffff,Primitive white. The Creative button fill in every theme.,
semantic/bg-surface,color,light,{primitive/zinc/0},"Default surface: cards, tables, panels, page body. Grounds aura-fg-primary, -secondary and -accent.",FRAME_FILL
semantic/bg-surface-hover,color,light,{primitive/zinc/50},"Hover fill for rows, secondary buttons and list items. aura-fg-primary and -secondary still pass on it (≥5.8:1).",FRAME_FILL
semantic/bg-surface-strong,color,light,{primitive/zinc/900},"High-emphasis block (the wordmark tile, inverted callouts). Text on it: aura-fg-inverted.",FRAME_FILL
semantic/bg-canvas,color,light,{primitive/zinc/50},App background behind surfaces; the data-table header band.,FRAME_FILL
semantic/bg-inverted,color,light,{primitive/zinc/900},Inverted ground: tooltips. Text on it: aura-fg-inverted (17.7:1).,FRAME_FILL
semantic/fg-primary,color,light,{primitive/zinc/900},Body and heading text on aura-bg-surface and aura-bg-canvas (≥16.9:1 both themes).,TEXT_FILL
